"party","name","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"국민의힘","강기윤",341,75,36,66,0.643936395645142,0.785714285714286,0.662275075912476,-0.146312817931175,0,0,0
"국민의힘","강대식",625,127,28,94,0.6716588139534,0.822654462242563,0.667689800262451,0.0442561469972134,0,0,0
"더불어민주당","강득구",951,37,1,7,0.864870071411133,0.961847389558233,-0.462552785873413,-0.0670054405927658,0,0,0
"국민의힘","강민국",507,97,29,106,0.657429158687592,0.829499323410014,0.714585363864899,-0.198572233319283,0,0,0
"더불어민주당","강민정",888,97,18,52,0.750239729881287,0.890995260663507,-0.854548573493958,-0.341374486684799,0,0,0
"더불어민주당","강병원",968,25,0,0,0.920173823833466,0.974823766364552,-0.450218111276627,0.389003574848175,0,0,0
"더불어민주당","강선우",755,16,1,2,0.93748527765274,0.978036175710594,-0.566563665866852,0.207629308104515,0,0,0
"정의당","강은미",894,59,0,86,0.850360751152039,0.943214629451396,-0.65102219581604,-0.759058713912964,0,0,0
"더불어민주당","강준현",1036,7,0,1,0.963051617145538,0.993295019157088,-0.409483909606934,0.350372135639191,0,0,0
"더불어민주당","강훈식",839,17,0,2,0.914282381534576,0.98018648018648,-0.432633489370346,0.127812579274178,0,0,0
"더불어민주당","고민정",1035,30,4,2,0.914028286933899,0.968253968253968,-0.462760329246521,0.0432698167860508,0,0,0
"더불어민주당","고영인",971,12,0,1,0.940365374088287,0.98780487804878,-0.375487923622131,0.327507436275482,0,0,0
"더불어민주당","고용진",961,15,0,1,0.919050991535187,0.984646878198567,-0.349366009235382,0.345692247152328,0,0,0
"무소속","곽상도",219,54,33,107,0.623411238193512,0.789346246973366,0.691660165786743,-0.0560152791440487,0,0,0
"국민의힘","구자근",764,96,5,46,0.753210544586182,0.889132821075741,0.460277080535889,0.130368053913116,0,0,0
"국민의힘","권명호",638,155,59,119,0.62554395198822,0.779608650875386,0.686977326869965,-0.200418636202812,0,0,0
"국민의힘","권성동",515,93,28,113,0.66769677400589,0.83845126835781,0.703364908695221,0.5162393450737,0,0,0
"국민의힘","권영세",443,13,2,4,0.898292183876038,0.967532467532468,-0.0410505458712578,0.00175816006958485,0,0,0
"국민의힘","권은희",334,68,3,9,0.582115590572357,0.828502415458937,0.381102591753006,0.92453271150589,0,0,0
"더불어민주당","권인숙",945,39,5,12,0.89950293302536,0.956043956043956,-0.692851781845093,0.0453490167856216,0,0,0
"더불어민주당","권칠승",501,1,1,0,0.968676686286926,0.996023856858847,-0.320142030715942,0.387580752372742,0,0,0
"더불어민주당","기동민",1051,37,2,7,0.884987235069275,0.964448495897903,-0.56429398059845,0.0710123851895332,0,0,0
"더불어민주당","김경만",1040,15,1,0,0.929250657558441,0.984848484848485,-0.321229755878448,0.355121374130249,0,0,0
"더불어민주당","김경협",844,36,1,7,0.873800277709961,0.958333333333333,-0.643883943557739,0.25495371222496,0,0,0
"더불어민주당","김교흥",930,16,0,1,0.94223827123642,0.983104540654699,-0.443189740180969,0.250647902488708,0,0,0
"국민의힘","김기현",840,26,1,15,0.877863585948944,0.969387755102041,0.019130852073431,-0.157542899250984,0,0,0
"더불어민주당","김남국",825,21,0,3,0.920417308807373,0.975265017667845,-0.601776361465454,0.283185541629791,0,0,0
"국민의힘","김도읍",971,74,7,27,0.806718707084656,0.924930491195551,0.267327487468719,-0.301797568798065,0,0,0
"더불어민주당","김두관",685,14,1,12,0.930645167827606,0.978932584269663,-0.583931982517242,-0.0213018916547298,0,0,0
"국민의힘","김미애",515,168,77,181,0.584066808223724,0.739638682252922,0.758451163768768,-0.555656671524048,0,0,0
"더불어민주당","김민기",1052,53,8,13,0.847755551338196,0.94582593250444,-0.612952768802643,-0.116457737982273,0,0,0
"더불어민주당","김민석",717,9,0,1,0.933538675308228,0.987620357634113,-0.432980984449387,0.246224090456963,0,0,0
"더불어민주당","김민철",1058,4,1,0,0.968951165676117,0.995296331138288,-0.377485752105713,0.315559238195419,0,0,0
"더불어민주당","김병기",735,9,0,1,0.943031251430511,0.987919463087248,-0.507351994514465,0.342098355293274,0,0,0
"더불어민주당","김병욱",1076,7,1,0,0.958889305591583,0.992619926199262,-0.359066158533096,0.334488242864609,0,0,0
"국민의힘","김병욱",533,97,32,59,0.679075241088867,0.821081830790569,0.575776934623718,-0.41767480969429,0,0,0
"더불어민주당","김병주",977,8,0,1,0.947532415390015,0.991886409736308,-0.345570415258408,0.397702693939209,0,0,0
"국민의힘","김상훈",689,15,0,8,0.92007440328598,0.978932584269663,0.0336630120873451,-0.162750616669655,0,0,0
"더불어민주당","김상희",928,27,5,14,0.87131804227829,0.967145790554415,-0.496039599180222,-0.17238737642765,0,0,0
"국민의힘","김석기",369,14,2,9,0.861908853054047,0.959390862944162,0.117344737052917,0.0862346664071083,0,0,0
"국민의힘","김선교",618,100,16,32,0.693310439586639,0.848563968668407,0.471923649311066,-0.267394602298737,0,0,0
"국민의힘","김성원",665,58,6,29,0.791576027870178,0.9155672823219,0.35378223657608,0.335940539836884,0,0,0
"더불어민주당","김성주",963,29,0,16,0.885903835296631,0.971230158730159,-0.549548506736755,-0.0801778733730316,0,0,0
"더불어민주당","김성환",862,3,1,0,0.97185081243515,0.995381062355658,-0.383145183324814,0.232666090130806,0,0,0
"더불어민주당","김수흥",1091,9,1,0,0.952325403690338,0.990917347865577,-0.417441725730896,0.219647511839867,0,0,0
"더불어민주당","김승남",1022,10,1,0,0.938215374946594,0.989351403678606,-0.347016245126724,0.282653599977493,0,0,0
"국민의힘","김승수",581,127,54,82,0.626197159290314,0.785545023696682,0.58579033613205,-0.607011437416077,0,0,0
"더불어민주당","김승원",964,34,0,2,0.891333758831024,0.966,-0.559204339981079,0.303267449140549,0,0,0
"더불어민주당","김영배",1021,5,1,0,0.96367746591568,0.994157740993184,-0.382623791694641,0.240607500076294,0,0,0
"국민의힘","김영식",554,101,28,121,0.684333920478821,0.83955223880597,0.685839831829071,-0.139704838395119,0,0,0
"국민의힘","김영주",1039,9,1,0,0.955710649490356,0.990467111534795,-0.413733780384064,0.218481704592705,0,0,0
